"","ID","class","land_cover","Year"
"122","C10-S2","Developed, Open Space",81,2014
"123","C10-S2","Developed, Open Space",81,2015
"124","C10-S2","Developed, Open Space",81,2016
"125","C10-S2","Developed, Open Space",81,2017
"126","C10-S2","Developed, Open Space",80,2018
"127","C10-S2","Developed, Open Space",80,2019
"128","C10-S2","Developed, Open Space",80,2020
"129","C10-S2","Developed, Open Space",80,2021
"130","C10-S2","Developed, Open Space",80,2022
"131","C10-S3","Developed, Open Space",95,2013
"132","C10-S3","Developed, Open Space",95,2014
"133","C10-S3","Developed, Open Space",95,2015
"134","C10-S3","Developed, Open Space",95,2016
"135","C10-S3","Developed, Open Space",95,2017
"136","C10-S3","Developed, Open Space",95,2018
"137","C10-S3","Developed, Open Space",95,2019
"138","C10-S3","Developed, Open Space",95,2020
"139","C10-S3","Developed, Open Space",95,2021
"140","C10-S3","Developed, Open Space",95,2022
"141","C12-S2","Developed, Open Space",387,2013
"142","C12-S2","Developed, Open Space",387,2014
"143","C12-S2","Developed, Open Space",386,2015
"144","C12-S2","Developed, Open Space",385,2016
"145","C12-S2","Developed, Open Space",384,2017
"146","C12-S2","Developed, Open Space",383,2018
"147","C12-S2","Developed, Open Space",382,2019
"148","C12-S2","Developed, Open Space",381,2020
"149","C12-S2","Developed, Open Space",381,2021
"150","C12-S2","Developed, Open Space",380,2022
"151","C12-S3","Developed, Open Space",244,2013
"152","C12-S3","Developed, Open Space",244,2014
"153","C12-S3","Developed, Open Space",244,2015
"154","C12-S3","Developed, Open Space",244,2016
"155","C12-S3","Developed, Open Space",244,2017
"156","C12-S3","Developed, Open Space",243,2018
"157","C12-S3","Developed, Open Space",243,2019
"158","C12-S3","Developed, Open Space",243,2020
"159","C12-S3","Developed, Open Space",243,2021
"160","C12-S3","Developed, Open Space",243,2022
"161","C12-S4","Developed, Open Space",226,2013
"162","C12-S4","Developed, Open Space",226,2014
"163","C12-S4","Developed, Open Space",225,2015
"164","C12-S4","Developed, Open Space",225,2016
"165","C12-S4","Developed, Open Space",225,2017
"166","C12-S4","Developed, Open Space",225,2018
"167","C12-S4","Developed, Open Space",224,2019
"168","C12-S4","Developed, Open Space",224,2020
"169","C12-S4","Developed, Open Space",224,2021
"170","C12-S4","Developed, Open Space",223,2022
"171","C12-S5","Developed, Open Space",276,2013
"172","C12-S5","Developed, Open Space",285,2014
"173","C12-S5","Developed, Open Space",295,2015
"174","C12-S5","Developed, Open Space",304,2016
"175","C12-S5","Developed, Open Space",314,2017
"176","C12-S5","Developed, Open Space",323,2018
"177","C12-S5","Developed, Open Space",333,2019
"178","C12-S5","Developed, Open Space",342,2020
"179","C12-S5","Developed, Open Space",352,2021
"180","C12-S5","Developed, Open Space",361,2022
"181","C12-S6","Developed, Open Space",160,2013
"182","C12-S6","Developed, Open Space",160,2014
"183","C12-S6","Developed, Open Space",160,2015
"184","C12-S6","Developed, Open Space",159,2016
"185","C12-S6","Developed, Open Space",159,2017
"186","C12-S6","Developed, Open Space",158,2018
"187","C12-S6","Developed, Open Space",158,2019
"188","C12-S6","Developed, Open Space",157,2020
"189","C12-S6","Developed, Open Space",157,2021
"190","C12-S6","Developed, Open Space",156,2022
"191","C13-S1","Developed, Open Space",89,2013
"192","C13-S1","Developed, Open Space",90,2014
"193","C13-S1","Developed, Open Space",91,2015
"194","C13-S1","Developed, Open Space",92,2016
"195","C13-S1","Developed, Open Space",93,2017
"196","C13-S1","Developed, Open Space",95,2018
"197","C13-S1","Developed, Open Space",96,2019
"198","C13-S1","Developed, Open Space",97,2020
"199","C13-S1","Developed, Open Space",98,2021
"200","C13-S1","Developed, Open Space",99,2022
"201","C13-S2","Developed, Open Space",71,2013
"202","C13-S2","Developed, Open Space",71,2014
"203","C13-S2","Developed, Open Space",71,2015
"204","C13-S2","Developed, Open Space",71,2016
"205","C13-S2","Developed, Open Space",71,2017
"206","C13-S2","Developed, Open Space",70,2018
"207","C13-S2","Developed, Open Space",70,2019
"208","C13-S2","Developed, Open Space",70,2020
"209","C13-S2","Developed, Open Space",70,2021
"210","C13-S2","Developed, Open Space",69,2022
